時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:17.4,0.082612172,0.277291149,0.046003643,0.249169245,2.853027344,2.675750732,TRUE,TRUE
42:17.4,0.018776916,0.155589402,0.049883928,0.252965391,2.936889648,2.657501221,TRUE,TRUE
42:17.4,0.018776916,0.155589402,0.049883928,0.252965391,2.936889648,2.657501221,TRUE,TRUE
42:17.4,0.018776916,0.155589402,0.049883928,0.252965391,2.936889648,2.657501221,TRUE,TRUE
42:17.4,-0.012915242,0.092430413,0.044924602,0.219182715,2.94833374,2.718338013,TRUE,TRUE
42:17.4,-0.012915242,0.092430413,0.044924602,0.219182715,2.94833374,2.718338013,TRUE,TRUE
42:17.4,-0.012915242,0.092430413,0.044924602,0.219182715,2.94833374,2.718338013,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.045726784,0.219817862,2.953643799,2.723205566,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.045726784,0.219817862,2.953643799,2.723205566,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.045726784,0.219817862,2.953643799,2.723205566,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.051007301,0.235430241,2.953643799,2.72088623,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.051007301,0.235430241,2.953643799,2.72088623,TRUE,TRUE
42:17.5,-0.012206088,0.09589494,0.051007301,0.235430241,2.953643799,2.72088623,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.104839779,0.213815227,2.905319214,2.768310547,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.104839779,0.213815227,2.905319214,2.768310547,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.104839779,0.213815227,2.905319214,2.768310547,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.143379569,0.212346971,2.905319214,2.761764526,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.143379569,0.212346971,2.905319214,2.761764526,TRUE,TRUE
42:17.5,0.14583686,0.221478581,0.143379569,0.212346971,2.905319214,2.761764526,TRUE,TRUE
42:17.5,nan, nan,0.318697691,0.119996727,nan,2.747085571,FALSE,TRUE
42:17.5,nan, nan,0.318697691,0.119996727,nan,2.747085571,FALSE,TRUE
42:17.5,nan, nan,0.318697691,0.119996727,nan,2.747085571,FALSE,TRUE
42:17.5,0.326540709,0.154616803,0.316248924,0.123835139,3.001068115,2.768371582,TRUE,TRUE
42:17.5,0.326540709,0.154616803,0.316248924,0.123835139,3.001068115,2.768371582,TRUE,TRUE
42:17.5,0.326540709,0.154616803,0.316248924,0.123835139,3.001068115,2.768371582,TRUE,TRUE
42:17.6,0.324279308,0.150662512,0.309167087,0.12665081,2.953674316,2.777877808,TRUE,TRUE
42:17.6,0.324279308,0.150662512,0.309167087,0.12665081,2.953674316,2.777877808,TRUE,TRUE
42:17.6,0.324279308,0.150662512,0.309167087,0.12665081,2.953674316,2.777877808,TRUE,TRUE
42:17.6,0.324075639,0.148375854,0.308685243,0.125126809,2.960998535,2.785644531,TRUE,TRUE
42:17.6,0.324075639,0.148375854,0.308685243,0.125126809,2.960998535,2.785644531,TRUE,TRUE
42:17.6,0.324075639,0.148375854,0.308685243,0.125126809,2.960998535,2.785644531,TRUE,TRUE
42:17.6,0.320177853,0.150321424,0.307916045,0.126650855,2.963943481,2.789230347,TRUE,TRUE
42:17.6,0.320177853,0.150321424,0.307916045,0.126650855,2.963943481,2.789230347,TRUE,TRUE
42:17.6,0.320177853,0.150321424,0.307916045,0.126650855,2.963943481,2.789230347,TRUE,TRUE
42:17.6,0.32055226,0.149863929,0.306339502,0.126199633,2.963562012,2.79699707,TRUE,TRUE
42:17.6,0.32055226,0.149863929,0.306339502,0.126199633,2.963562012,2.79699707,TRUE,TRUE
42:17.6,0.32055226,0.149863929,0.306339502,0.126199633,2.963562012,2.79699707,TRUE,TRUE
42:17.6,0.321558475,0.146076068,0.309240907,0.122128874,2.9818573,2.812469482,TRUE,TRUE
42:17.6,0.321558475,0.146076068,0.309240907,0.122128874,2.9818573,2.812469482,TRUE,TRUE
42:17.6,0.321558475,0.146076068,0.309240907,0.122128874,2.9818573,2.812469482,TRUE,TRUE
42:17.6,0.320745558,0.146490723,0.308873355,0.125974178,2.990524292,2.82208252,TRUE,TRUE
42:17.6,0.320745558,0.146490723,0.308873355,0.125974178,2.990524292,2.82208252,TRUE,TRUE
42:17.6,0.320745558,0.146490723,0.308873355,0.125974178,2.990524292,2.82208252,TRUE,TRUE
42:17.7,0.320612937,0.147183552,0.306139171,0.123015836,3.010604858,2.825408936,TRUE,TRUE
42:17.7,0.320612937,0.147183552,0.306139171,0.123015836,3.010604858,2.825408936,TRUE,TRUE
